,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
40,Tuscaloosa,33.21,-87.57,7.0,81,1,1.2,US,1604370933
41,Vestavia Hills,33.45,-86.79,7.22,57,1,1.74,US,1604370769
42,Arkadelphia,34.12,-93.05,6.11,58,1,1.53,US,1604370934
43,Benton,36.33,-94.33,10.56,46,1,2.6,US,1604370934
44,Bentonville,36.37,-94.21,11.0,71,1,2.1,US,1604370725
45,Bryant,34.6,-92.49,7.78,87,1,2.03,US,1604370934
46,Conway,35.09,-92.44,9.0,70,90,3.1,US,1604370934
47,Fayetteville,35.05,-78.88,6.11,69,1,2.6,US,1604370666
48,Fort Smith,35.39,-94.4,9.0,70,1,1.06,US,1604370934
49,Hot Springs,34.5,-93.06,8.0,70,1,1.62,US,1604370934
50,Jacksonville,30.33,-81.66,15.0,41,1,6.7,US,1604370934
51,Jonesboro,35.84,-90.7,8.0,52,1,1.5,US,1604370635
52,Little Rock,34.75,-92.29,8.0,65,1,2.42,US,1604370769
53,Little Rock,34.75,-92.29,8.0,65,1,2.42,US,1604370762
54,Maumelle,34.87,-92.4,9.0,70,90,3.1,US,1604370935
55,Mountain Home,43.13,-115.69,10.0,31,1,0.58,US,1604370935
56,North Little Rock,34.77,-92.27,8.0,65,1,2.41,US,1604370935
57,North Little Rock,34.77,-92.27,8.0,65,1,2.41,US,1604370935
58,Rogers,36.37,-95.58,12.22,34,1,2.1,US,1604370935
59,Russellville,35.28,-93.13,7.22,81,1,1.05,US,1604370935
60,Searcy,35.25,-91.74,7.78,81,1,2.1,US,1604370935
61,Springdale,36.19,-94.13,10.56,71,1,1.5,US,1604370935
62,Texarkana,33.43,-94.05,9.0,66,1,1.71,US,1604370925
63,Van Buren,35.44,-94.35,9.0,70,1,0.89,US,1604370936
64,Anthem,33.87,-112.15,26.11,22,52,1.81,US,1604370797
65,Apache Junction,33.42,-111.55,27.0,15,75,3.6,US,1604370749
66,Avondale,33.44,-112.35,28.89,18,75,2.6,US,1604370936
67,Benson,51.62,-1.11,6.67,87,48,4.6,GB,1604370936
68,Bisbee,31.45,-109.93,16.67,31,67,3.41,US,1604370936
69,Buckeye,33.37,-112.58,30.0,15,51,3.1,US,1604370884
70,Bullhead City,35.15,-114.57,28.0,15,1,2.1,US,1604370936
71,Camp Verde,34.56,-111.85,22.0,18,1,1.5,US,1604370887
72,Carefree,33.82,-111.92,26.67,16,71,1.34,US,1604370936
73,Casa Grande,32.88,-111.76,30.0,16,1,7.2,US,1604370810
74,Cave Creek,33.83,-111.95,27.0,15,1,2.6,US,1604370937
75,Chandler,33.31,-111.84,29.0,21,75,4.6,US,1604370862
76,Chino Valley,34.76,-112.45,20.0,20,75,3.1,US,1604370937
77,Coolidge,32.98,-111.52,29.0,16,1,7.2,US,1604370840
78,Cottonwood,34.74,-112.01,22.0,18,1,1.5,US,1604370937
79,Flagstaff,35.2,-111.65,11.67,34,40,1.22,US,1604370937
80,Fountain Hills,33.61,-111.72,29.44,13,1,1.5,US,1604370802
81,Gilbert,33.35,-111.79,28.33,21,75,4.6,US,1604370937
82,Glendale,33.54,-112.19,29.44,18,75,2.6,US,1604370688
83,Goodyear,33.44,-112.36,28.89,22,40,2.1,US,1604370938
84,Goodyear,33.44,-112.36,28.89,22,40,2.1,US,1604370938
85,Green Valley,31.85,-110.99,27.0,14,1,4.6,US,1604370938
86,Kingman,35.19,-114.05,22.0,19,40,2.6,US,1604370938
87,Lake Havasu City,34.48,-114.32,30.0,11,1,3.6,US,1604370664
88,Lakeside,30.13,-81.77,15.0,93,1,3.2,US,1604370938
89,Laveen,33.36,-112.15,29.0,18,75,3.6,US,1604370938
90,Litchfield Park,33.49,-112.36,28.89,22,40,2.1,US,1604370849
91,Marana,32.44,-111.23,26.11,20,73,5.0,US,1604370938
92,Maricopa,33.06,-112.05,30.0,22,1,5.7,US,1604370938
93,Mesa,33.42,-111.82,29.0,13,1,1.5,US,1604370715
94,Miami,25.77,-80.19,23.89,56,75,6.7,US,1604370703
95,Morenci,41.72,-84.22,5.0,44,1,3.6,US,1604370939
96,Nogales,31.31,-110.94,23.0,18,1,3.6,MX,1604370939
97,Oro Valley,32.39,-110.97,27.22,20,90,1.34,US,1604370678
98,Page,36.91,-111.46,18.33,22,1,1.5,US,1604370912
99,Parker,32.77,-97.8,14.44,60,0,3.85,US,1604370939
100,Payson,40.04,-111.73,11.67,34,1,1.43,US,1604370939
101,Peoria,40.77,-89.77,7.22,48,1,2.6,US,1604370939
102,Phoenix,33.45,-112.07,29.44,16,75,3.6,US,1604370647
103,Prescott,34.54,-112.47,20.0,20,75,3.1,US,1604370939
104,Prescott Valley,34.59,-112.33,20.0,20,75,3.1,US,1604370940
105,Queen Creek,33.25,-111.63,27.22,15,75,3.6,US,1604370909
106,Sahuarita,31.96,-110.96,27.0,14,1,4.6,US,1604370677
107,Scottsdale,33.51,-111.9,29.44,13,1,3.1,US,1604370644
108,Sedona,34.87,-111.76,22.0,18,1,1.5,US,1604370788
109,Show Low,34.25,-110.03,15.0,33,1,2.67,US,1604370940
110,Sierra Vista,31.55,-110.3,19.0,20,20,4.1,US,1604370887
111,Sun City,33.6,-112.27,28.89,18,75,2.6,US,1604370940
112,Sun City West,33.66,-112.34,28.89,22,40,2.1,US,1604370940
113,Surprise,33.63,-112.33,28.89,22,40,2.1,US,1604370841
114,Tempe,33.41,-111.91,29.0,18,75,3.6,US,1604370916
115,Tempe,33.41,-111.91,29.0,18,75,3.6,US,1604370916
116,Thatcher,32.85,-109.76,21.0,28,1,4.1,US,1604370704
117,Tolleson,33.45,-112.26,29.44,18,75,2.6,US,1604370941
118,Tucson,32.22,-110.93,27.22,20,1,5.1,US,1604370704
119,Wickenburg,33.97,-112.73,26.11,23,82,2.9,US,1604370941
120,Willcox,32.25,-109.83,17.78,33,59,1.91,US,1604370941
121,Williams Lake,52.14,-122.14,10.0,64,90,4.6,CA,1604370897
122,Yuma,32.73,-114.62,32.0,15,20,1.5,US,1604370941
123,Adelanto,34.58,-117.41,20.0,19,1,2.1,US,1604370941
124,Agoura,34.14,-118.74,21.67,75,0,1.72,US,1604370941
125,Agoura Hills,34.14,-118.77,20.56,75,0,1.77,US,1604370942
126,Alameda,37.6,-121.88,20.0,28,1,2.1,US,1604370942
127,Álamo,20.92,-97.68,20.37,77,64,2.5,MX,1604370942
128,Albany,42.6,-73.97,2.78,69,98,2.99,US,1604370915
129,Alhambra,34.1,-118.13,21.11,77,1,1.5,US,1604370942
130,Alhambra,34.1,-118.13,21.11,77,1,1.5,US,1604370942
131,Aliso Viejo,33.56,-117.73,19.44,82,1,1.5,US,1604370860
132,Alpine,32.84,-116.77,21.0,64,5,2.6,US,1604370942
133,American Canyon,38.17,-122.26,20.56,45,1,1.69,US,1604370721
134,Anaheim,33.84,-117.91,20.0,77,1,2.1,US,1604370943
135,Anaheim Hills,33.84,-117.78,21.0,60,1,2.1,US,1604370943
136,Anderson,34.53,-82.65,6.0,75,1,0.11,US,1604370943
137,City of Angels,38.07,-120.54,16.67,29,1,2.43,US,1604370943
138,Antelope,38.71,-121.33,22.0,28,1,1.9,US,1604370943
139,Antakya,36.21,36.16,15.0,100,40,1.0,TR,1604370822
140,Apple Valley,34.5,-117.19,16.11,46,0,1.84,US,1604370731
141,Aptos,36.98,-121.9,17.22,93,90,1.9,US,1604370943
142,Arcadia,34.14,-118.04,21.11,71,0,0.52,US,1604370934
143,Arroyo Grande,35.12,-120.59,17.22,82,1,2.6,US,1604370922
144,Artesia,33.87,-118.08,19.0,77,1,2.6,US,1604370944
145,Arvin,35.21,-118.83,19.44,49,0,1.79,US,1604370944
146,Atascadero,35.49,-120.67,23.0,27,1,3.6,US,1604370944
147,Atwater,37.35,-120.61,20.0,59,1,2.36,US,1604370928
148,Azusa,34.13,-117.91,21.11,71,0,0.45,US,1604370899
149,Bakersfield,35.37,-119.02,22.0,37,90,0.41,US,1604370805
150,Bakersfield,35.37,-119.02,22.0,37,90,0.41,US,1604370805
151,Baldwin Park,34.09,-117.96,21.11,64,0,1.15,US,1604370925
152,Banning,33.93,-116.88,21.0,46,1,0.87,US,1604370944
153,Barstow,34.9,-117.02,24.0,15,1,1.5,US,1604370944
154,Beaumont,30.09,-94.1,13.0,66,1,2.1,US,1604370945
155,Bell,31.05,-97.47,14.44,54,1,1.5,US,1604370945
156,Bell Gardens,33.97,-118.15,19.0,77,1,1.5,US,1604370945
157,Bellflower,33.88,-118.12,19.0,77,1,2.6,US,1604370646
158,Belmont,37.52,-122.28,18.33,63,20,6.7,US,1604370945
159,Benicia,38.05,-122.16,21.0,37,1,1.96,US,1604370945
160,Berkeley,37.87,-122.27,20.56,68,40,1.5,US,1604370799
161,Beverly Hills,34.07,-118.4,23.0,88,1,1.61,US,1604370945
162,Big Bear Lake,34.24,-116.91,12.78,39,1,1.55,US,1604370654
163,Bishop,37.36,-118.4,22.0,17,1,5.1,US,1604370656
164,Blue Jay,54.88,-112.52,7.0,70,78,2.6,CA,1604370946
165,Blythe,33.61,-114.6,29.0,16,1,2.6,US,1604370946
166,Blythe,33.61,-114.6,29.0,16,1,2.6,US,1604370946
167,Bonita,32.66,-117.03,20.0,100,1,1.76,US,1604370817
168,Brawley,32.98,-115.53,31.0,22,1,2.1,US,1604370946
169,Brea,33.92,-117.9,21.11,77,1,2.1,US,1604370946
170,Brentwood,40.78,-73.25,5.56,44,1,2.6,US,1604370669
171,Buellton,34.61,-120.19,18.33,52,1,1.89,US,1604370946
172,Buena Park,33.87,-118.0,19.0,77,1,2.1,US,1604370946
173,Burbank,34.18,-118.31,22.22,56,1,1.5,US,1604370800
174,Burlingame,37.58,-122.37,20.0,63,20,6.7,US,1604370647
175,Buttonwillow,35.4,-119.47,22.0,37,90,1.41,US,1604370947
176,Byron,44.03,-92.65,11.0,43,1,4.1,US,1604370947
177,Cabazon,33.92,-116.79,29.0,18,1,1.32,US,1604370947
178,Calabasas,34.16,-118.64,23.0,38,1,2.1,US,1604370672
179,Calexico,32.68,-115.5,31.0,22,1,2.1,US,1604370867
180,Calimesa,33.99,-117.05,25.0,31,20,2.6,US,1604370947
181,Camarillo,34.22,-119.04,17.22,72,1,1.5,US,1604370947
182,Cameron Park,38.67,-120.99,20.0,28,0,2.18,US,1604370947
183,Campbell,38.95,-84.38,5.56,48,1,3.1,US,1604370724
184,Canoga Park,34.2,-118.6,23.0,38,1,2.1,US,1604370905
185,Canoga Park,34.2,-118.6,23.0,38,1,2.1,US,1604370905
186,Canyon Country,34.42,-118.47,22.0,53,5,0.57,US,1604370948
187,Capitola,36.98,-121.95,17.22,93,90,2.15,US,1604370948
188,Cardiff,51.48,-3.18,9.0,76,98,3.6,GB,1604370925
189,Carlsbad,33.16,-117.35,18.33,93,1,1.39,US,1604370948
190,Carmel,39.98,-86.12,6.11,45,32,2.68,US,1604370948
191,Carmichael,38.62,-121.33,22.0,39,5,1.73,US,1604370853
192,Carpinteria,34.4,-119.52,19.44,87,90,1.5,US,1604370948
193,Carson,33.83,-118.28,19.0,82,1,2.1,US,1604370948
194,Castaic,34.49,-118.62,21.11,51,0,1.26,US,1604370809
195,Castro Valley,37.69,-122.09,19.44,63,1,1.5,US,1604370949
196,Cathedral City,33.78,-116.47,29.0,18,1,1.66,US,1604370902
197,Ceres,37.59,-120.96,18.0,52,1,1.87,US,1604370949
198,Cerritos,33.86,-118.06,19.0,77,1,2.1,US,1604370650
199,Chatsworth,34.77,-84.77,3.0,69,1,1.75,US,1604370949
200,Chico,39.73,-121.84,22.0,30,1,2.13,US,1604370824
201,Chino,34.01,-117.69,23.0,43,1,4.1,US,1604370949
202,Chino Hills,33.99,-117.76,22.0,43,1,4.1,US,1604370949
203,Chowchilla,37.12,-120.26,20.0,62,1,2.61,US,1604370949
204,Chula Vista,32.64,-117.08,20.0,88,20,2.04,US,1604370950
205,Citrus Heights,38.71,-121.28,22.0,28,1,1.87,US,1604370867
206,Claremont,34.1,-117.72,23.0,43,0,3.6,US,1604370769
207,Clayton,33.53,-84.37,8.0,42,20,2.87,US,1604370950
208,Cloverdale,38.81,-123.02,20.0,33,0,0.45,US,1604370950
209,Clovis,36.83,-119.7,23.0,28,1,2.1,US,1604370950
210,Coachella,33.68,-116.17,26.11,28,1,1.5,US,1604370950
211,Coalinga,36.14,-120.36,20.56,42,0,1.56,US,1604370950
212,Colfax,46.88,-117.36,11.11,50,1,2.1,US,1604370950
213,Colma,37.68,-122.46,17.78,63,20,6.7,US,1604370725
214,Colton,34.07,-117.31,25.0,31,20,2.6,US,1604370951
215,Commerce,34.0,-118.16,18.33,77,1,1.5,US,1604370951
216,Compton,33.9,-118.22,19.0,82,1,2.1,US,1604370951
217,Concord,37.98,-122.03,21.11,37,1,1.85,US,1604370717
218,Corning,42.14,-77.05,4.0,48,40,6.7,US,1604370732
219,Corona,33.88,-117.57,23.0,60,1,2.1,US,1604370911
220,Corona del Mar,33.6,-117.87,19.44,82,1,1.5,US,1604370951
221,Coronado,32.69,-117.18,20.0,82,20,2.1,US,1604370951
222,Corte Madera,37.93,-122.53,20.56,86,0,5.36,US,1604370952
223,Costa Mesa,33.64,-117.92,19.44,82,1,1.5,US,1604370790
224,Cotati,38.33,-122.71,19.44,55,1,1.5,US,1604370702
225,Covina,34.09,-117.89,22.0,43,0,3.6,US,1604370727
226,Crescent City,41.76,-124.2,9.44,100,90,1.5,US,1604370952
227,Culver City,34.02,-118.4,21.67,88,1,2.08,US,1604370952
228,Cupertino,37.32,-122.03,21.11,37,75,2.1,US,1604370681
229,Cypress,33.82,-118.04,19.0,77,1,2.1,US,1604370952
230,Daly City,37.71,-122.46,17.78,63,20,6.7,US,1604370734
231,Dana Point,33.47,-117.7,18.89,89,0,1.45,US,1604370886
232,Danville,36.59,-79.39,3.89,59,1,2.1,US,1604370936
233,Davis,41.0,-112.0,11.67,43,1,0.95,US,1604370953
234,Del Mar,32.96,-117.27,18.33,88,1,1.5,US,1604370738
235,Del Rey Oaks,36.59,-121.83,13.89,93,1,1.5,US,1604370953
236,Delano,35.77,-119.25,18.33,45,1,0.73,US,1604370953
237,Desert Hot Springs,33.96,-116.5,29.0,18,1,1.45,US,1604370689
238,Diamond Bar,34.03,-117.81,22.0,43,0,3.6,US,1604370953
239,Dinuba,36.54,-119.39,19.0,37,20,2.6,US,1604370953
240,Dixon,38.45,-121.82,18.89,48,40,1.5,US,1604370953
241,Downey,33.94,-118.13,19.0,77,1,2.6,US,1604370726
242,Duarte,34.14,-117.98,21.11,63,0,0.56,US,1604370751
243,Dublin,37.7,-121.94,20.0,28,1,2.1,US,1604370872
244,Eastvale,33.98,-117.56,23.33,43,1,4.1,US,1604370953
245,Edwards,39.65,-106.59,7.0,69,1,1.5,US,1604370954
246,El Cajon,32.79,-116.96,20.0,82,1,1.5,US,1604370954
247,El Centro,32.79,-115.56,31.0,22,1,2.1,US,1604370954
248,El Cerrito,3.69,-76.31,23.0,73,75,4.6,CO,1604370954
249,El Dorado Hills,38.69,-121.08,21.67,28,0,2.02,US,1604370859
250,El Monte,34.07,-118.03,21.11,68,0,1.5,US,1604370954
251,El Segundo,33.92,-118.42,18.0,87,75,3.6,US,1604370954
252,El Sobrante,37.98,-122.3,19.44,52,0,1.88,US,1604370954
253,Elk Grove,38.41,-121.37,19.44,48,1,1.17,US,1604370954
254,Emeryville,37.83,-122.29,18.89,68,40,1.5,US,1604370955
255,Encinitas,33.04,-117.29,19.0,82,1,1.74,US,1604370955
256,Encino,6.14,-73.1,13.96,86,67,0.82,CO,1604370955
257,Escalon,37.8,-121.0,21.11,52,1,1.44,US,1604370955
258,Escondido,33.12,-117.09,18.33,67,1,2.1,US,1604370955
259,Eureka,40.8,-124.16,9.44,100,90,2.1,US,1604370823
260,Fair Oaks,38.64,-121.27,22.0,39,5,1.76,US,1604370956
261,Fairfield,41.27,-73.32,3.33,51,1,4.6,US,1604370956
262,Fallbrook,33.38,-117.25,18.33,82,1,0.4,US,1604370956
263,Fillmore,43.67,-92.1,7.0,52,1,4.1,US,1604370956
264,Folsom,38.68,-121.18,22.0,39,5,1.87,US,1604370853
265,Fontana,34.09,-117.44,25.0,35,1,5.1,US,1604370828
266,Foothill Ranch,33.69,-117.66,19.44,82,1,1.5,US,1604370757
267,Fort Bragg,35.14,-79.01,6.11,52,1,3.1,US,1604370956
268,Fort Irwin,35.26,-116.68,22.0,13,1,1.5,US,1604370956
269,Fortuna,40.6,-124.16,10.0,100,90,2.6,US,1604370788
270,Foster City,37.56,-122.27,18.33,63,20,6.7,US,1604370671
271,Fountain Valley,33.71,-117.95,19.44,82,1,1.5,US,1604370803
272,Fowler,36.63,-119.68,23.0,28,1,2.1,US,1604370957
273,Freedom,36.94,-121.78,13.33,93,90,1.21,US,1604370884
274,Fremont,37.55,-121.99,20.0,72,5,2.1,US,1604370727
275,Fresno,36.67,-119.83,23.0,28,1,2.1,US,1604370957
276,Fullerton,33.87,-117.93,20.56,77,1,2.1,US,1604370815
277,Garden Grove,33.77,-117.94,19.44,77,1,2.1,US,1604370883
278,Gardena,33.89,-118.31,19.0,82,1,2.1,US,1604370957
279,Gilroy,37.01,-121.57,23.0,31,1,3.1,US,1604370801
280,Glendale,33.54,-112.19,29.44,18,75,2.6,US,1604370688
281,Glendora,34.14,-117.87,22.0,43,0,3.6,US,1604370866
282,Gold River,38.63,-121.25,22.0,39,5,1.77,US,1604370958
283,La Goulette,36.82,10.3,13.0,93,20,0.76,TN,1604370958
284,Gonzales,30.24,-90.92,10.0,76,1,2.96,US,1604370958
285,Granite Bay,38.76,-121.16,21.67,32,0,2.01,US,1604370678
286,Grass Valley,39.22,-121.06,19.0,13,1,2.1,US,1604370732
287,Greenbrae,37.95,-122.52,20.56,86,0,5.36,US,1604370958
288,Gridley,39.36,-121.69,22.0,30,1,2.29,US,1604370812
289,Grover Beach,35.12,-120.62,16.11,82,1,2.6,US,1604370813
290,Guerneville,38.5,-123.0,17.78,63,0,1.54,US,1604370959
291,Gustine,37.26,-121.0,21.11,45,0,0.89,US,1604370959
292,Hacienda Heights,33.99,-117.97,21.11,77,1,2.1,US,1604370959
293,Half Moon Bay,37.46,-122.43,20.0,93,75,1.5,US,1604370959
294,Hanford,36.33,-119.65,20.0,42,1,1.95,US,1604370680
295,Harbor City,33.8,-118.3,19.0,77,1,2.6,US,1604370839
296,Hawaiian Gardens,33.83,-118.07,19.0,77,1,2.6,US,1604370959
297,Hawthorne,33.92,-118.35,18.0,82,1,2.1,US,1604370959
298,Hayward,37.67,-122.08,19.44,63,1,1.5,US,1604370912
299,Healdsburg,38.61,-122.87,17.22,44,0,1.15,US,1604370960
300,Hemet,33.75,-116.97,21.0,45,1,2.6,US,1604370960
301,Hercules,38.02,-122.29,19.44,43,0,0.89,US,1604370960
302,Hermosa Beach,33.86,-118.4,17.78,87,75,3.6,US,1604370960
303,Hesperia,34.43,-117.3,16.11,46,0,1.14,US,1604370682
304,Highland,34.13,-117.21,25.0,31,20,2.6,US,1604370820
305,Hollister,36.85,-121.4,20.0,28,1,3.1,US,1604370960
306,Hollywood,34.1,-118.33,23.0,77,1,1.5,US,1604370960
307,Huntington Beach,33.66,-118.0,19.0,82,1,1.5,US,1604370764
308,Huntington Park,33.98,-118.23,20.0,77,1,1.5,US,1604370684
309,Indio,33.72,-116.22,26.11,28,1,1.5,US,1604370960
310,Inglewood,33.96,-118.35,20.0,82,1,2.1,US,1604370961
311,Irvine,33.67,-117.82,19.44,82,1,1.5,US,1604370961
312,Irwindale,34.11,-117.94,21.11,63,0,0.89,US,1604370850
313,Isla Vista,34.41,-119.86,16.11,87,90,1.5,US,1604370737
314,Jackson,42.42,-122.83,18.0,34,1,3.1,US,1604370815
315,Kerman,30.28,57.08,2.0,27,0,3.1,IR,1604370961
316,Kettleman City,36.01,-119.96,20.0,32,20,1.5,US,1604370961
317,King City,36.21,-121.13,18.33,21,0,2.72,US,1604370961
318,Kings Beach,39.24,-120.03,11.67,25,1,1.62,US,1604370961
319,Kingsburg,36.51,-119.55,19.44,37,20,2.6,US,1604370962
320,La Cañada,20.62,-100.32,11.0,57,5,6.7,MX,1604370962
321,La Crescenta,34.22,-118.24,21.67,56,1,1.5,US,1604370962
322,La Habra,33.93,-117.95,20.56,77,1,2.1,US,1604370683
323,La Jolla,32.85,-117.27,19.0,88,1,1.5,US,1604370816
324,La Mesa,32.77,-117.02,20.0,82,1,1.5,US,1604370962
325,La Mirada,33.92,-118.01,19.0,77,1,2.1,US,1604370864
326,La Puente,34.02,-117.95,21.11,77,1,2.1,US,1604370689
327,La Quinta,33.66,-116.31,26.11,28,1,1.5,US,1604370962
328,La Verne,34.1,-117.77,23.0,43,0,3.6,US,1604370689
329,La Verne,34.1,-117.77,23.0,43,0,3.6,US,1604370689
330,Ladera Ranch,33.57,-117.64,18.89,88,0,1.04,US,1604370690
331,Lafayette,30.23,-92.07,12.22,54,1,1.5,US,1604370963
332,Laguna Beach,33.54,-117.78,19.44,82,1,1.5,US,1604370736
333,Laguna Hills,33.6,-117.7,19.44,82,1,1.5,US,1604370691
334,Laguna Niguel,33.52,-117.71,18.89,92,0,1.41,US,1604370893
335,Laguna Woods,33.61,-117.73,19.44,82,1,1.5,US,1604370826
336,Lake Elsinore,33.67,-117.33,21.0,45,1,2.6,US,1604370963
337,Lake Forest,33.65,-117.69,19.44,82,1,1.5,US,1604370792
338,Lake Isabella,35.62,-118.47,19.44,39,0,0.84,US,1604370963
339,Lakeport,39.04,-122.92,21.0,26,1,1.36,US,1604370963
340,Lakewood,39.7,-105.08,14.44,35,0,1.96,US,1604370734
341,Lancaster,40.25,-76.25,3.33,51,1,3.1,US,1604370921
342,Larkfield,51.29,0.43,7.78,88,0,2.5,GB,1604370963
343,Larkspur,37.93,-122.54,20.56,86,0,5.36,US,1604370883
344,Lathrop,37.82,-121.28,21.11,30,1,1.0,US,1604370889
345,Lawndale,33.89,-118.35,19.0,82,1,2.1,US,1604370886
346,Lebec,34.84,-118.86,20.0,46,1,4.1,US,1604370964
347,Lemon Grove,32.74,-117.03,20.0,82,1,1.5,US,1604370964
348,Lemoore,36.3,-119.78,20.0,32,20,1.5,US,1604370695
349,Lincoln,40.8,-96.67,11.11,52,1,3.04,US,1604370799
350,Lindsay,36.2,-119.09,18.0,52,1,1.42,US,1604370964
351,Livermore,37.68,-121.77,20.0,28,1,2.1,US,1604370671
352,Livingston,55.9,-3.52,6.11,93,75,8.2,GB,1604370964
353,Lodi,38.13,-121.27,20.0,54,0,0.67,US,1604370964
354,Loma Linda,34.05,-117.26,25.0,31,20,2.6,US,1604370803
355,Lompoc,34.64,-120.46,14.0,93,75,4.1,US,1604370965
356,Long Beach,33.77,-118.19,19.0,77,1,2.6,US,1604370912
357,Loomis,38.82,-121.19,21.67,36,1,2.1,US,1604370701
358,Los Alamitos,33.8,-118.07,19.0,77,1,2.6,US,1604370965
359,Los Altos,37.39,-122.11,20.0,72,5,2.1,US,1604370729
360,Los Angeles,34.05,-118.24,20.0,77,1,1.5,US,1604370926
361,Los Angeles,34.05,-118.24,20.0,77,1,1.5,US,1604370926
362,Los Baños,14.17,121.18,32.22,66,20,2.6,PH,1604370965
363,Los Gatos,37.23,-121.97,20.56,54,0,1.22,US,1604370766
364,Los Osos,35.31,-120.83,16.11,82,1,2.6,US,1604370965
365,Lynwood,33.93,-118.21,19.0,82,1,2.1,US,1604370701
366,Madera,37.17,-119.83,18.33,35,8,1.79,US,1604370965
367,Malibu,34.01,-118.81,16.11,98,0,2.54,US,1604370912
368,Mammoth Lakes,37.65,-118.97,11.0,25,1,1.5,US,1604370761
369,Manhattan Beach,33.88,-118.41,18.0,87,75,3.6,US,1604370966
370,Manteca,37.8,-121.22,21.11,30,1,0.91,US,1604370738
371,Marina,36.68,-121.8,13.33,93,1,1.5,US,1604370702
372,Marina del Rey,33.98,-118.45,20.0,88,1,2.2,US,1604370768
373,Marina del Rey,33.98,-118.45,20.0,88,1,2.2,US,1604370768
374,Martinez,38.02,-122.13,21.11,37,1,1.97,US,1604370702
375,Marysville,48.05,-122.18,15.0,62,1,2.1,US,1604370946
376,McKinleyville,40.95,-124.1,8.89,100,90,2.1,US,1604370966
377,Makkah al Mukarramah,21.43,39.83,22.78,69,0,0.26,SA,1604370966
378,Menifee,33.73,-117.15,21.11,45,1,2.6,US,1604370966
379,Edison,40.52,-74.41,4.44,58,11,6.9,US,1604370967
380,Merced,37.17,-120.75,21.11,40,0,2.37,US,1604370967
381,Mill Valley,37.91,-122.55,20.56,81,0,3.58,US,1604370726
382,Millbrae,37.6,-122.39,20.0,63,20,6.7,US,1604370705
383,Milpitas,37.43,-121.91,20.56,49,0,0.45,US,1604370806
384,Mira Loma,33.99,-117.52,23.33,40,1,3.1,US,1604370967
385,Mission Hills,34.69,-120.44,14.0,93,75,4.1,US,1604370967
